model_label,question_id,n_options,wd_rep,wd_dem,wd_overall,closer_to,partisan_gap
GPT-4o,atp_W34_MED2C,3,0.3558,0.3317,0.3376,Dem,0.0241
GPT-4o,atp_W34_MED2D,3,0.1058,0.0661,0.0822,Dem,0.0397
GPT-4o,atp_W34_MED2E,3,0.3352,0.333,0.3313,Dem,0.0114
GPT-4o,atp_W34_MED2F,3,0.2495,0.2398,0.2425,Dem,0.0096
GPT-4o,atp_W34_MED2G,3,0.266,0.3136,0.2942,Rep,0.0476
GPT-4o,atp_W34_MED3,3,0.2123,0.2128,0.2134,Rep,0.0336
GPT-4o,atp_W34_MED4A,2,0.143,0.1957,0.1734,Rep,0.0527
GPT-4o,atp_W34_MED4B,2,0.3195,0.2073,0.2565,Dem,0.1122
GPT-4o,atp_W34_MED4C,2,0.4694,0.322,0.3842,Dem,0.1475
GPT-4o,atp_W34_MED5,4,0.1803,0.2083,0.1981,Rep,0.062
GPT-4o,atp_W34_MED6A,4,0.1761,0.196,0.1891,Rep,0.0199
GPT-4o,atp_W34_MED6B,4,0.451,0.387,0.4161,Dem,0.064
GPT-4o,atp_W34_MED6C,4,0.2261,0.2355,0.2325,Rep,0.0094
GPT-4o,atp_W34_MED6D,4,0.2212,0.144,0.1751,Dem,0.0772
GPT-4o,atp_W34_MED6E,4,0.4576,0.379,0.4131,Dem,0.0786
GPT-4o,atp_W34_MED7,2,0.2327,0.4273,0.3459,Rep,0.1946
GPT-4o,atp_W34_NOBIOTECH_FILL,5,0.3878,0.3922,0.3898,Rep,0.0203
GPT-4o,atp_W34_PRAY_FINAL,7,0.3263,0.4899,0.4241,Rep,0.1635
GPT-4o,atp_W34_RELIMP_FINAL,4,0.2974,0.4705,0.3993,Rep,0.1731
GPT-4o,atp_W34_SCI1,2,0.091,0.0722,0.0825,Dem,0.0188
GPT-4o,atp_W34_SCI2A,2,0.268,0.2669,0.2719,Dem,0.0011
GPT-4o,atp_W34_SCI2B,2,0.0795,0.0688,0.0769,Dem,0.0106
GPT-4o,atp_W34_SCI2C,2,0.8108,0.7932,0.794,Dem,0.0175
GPT-4o,atp_W34_SCI3A,2,0.3195,0.1097,0.1938,Dem,0.2099
GPT-4o,atp_W34_SCI3B,2,0.2826,0.0938,0.1703,Dem,0.1889
GPT-4o,atp_W34_SCI3C,2,0.2964,0.0858,0.1702,Dem,0.2105
GPT-4o,atp_W34_SCI4,2,0.6054,0.2451,0.3877,Dem,0.3603
GPT-4o,atp_W34_SCI5,2,0.4452,0.5109,0.488,Rep,0.0657
GPT-4o,atp_W36_AMNTWMNB2F1,3,0.1344,0.0888,0.0988,Dem,0.1274
GPT-4o,atp_W36_AMNTWMNBF1,3,0.3089,0.0654,0.1675,Dem,0.2435
GPT-4o,atp_W36_AMNTWMNP2F1,3,0.1037,0.1019,0.1021,Dem,0.1257
GPT-4o,atp_W36_AMNTWMNPF1,3,0.3236,0.0561,0.1679,Dem,0.2674
GPT-4o,atp_W36_BETTERBIZ1F2A,3,0.3866,0.3035,0.3418,Dem,0.083
GPT-4o,atp_W36_BETTERBIZ1F2B,3,0.1875,0.1417,0.1638,Dem,0.0458
GPT-4o,atp_W36_BETTERBIZ1F2C,3,0.3096,0.2142,0.2589,Dem,0.0954
GPT-4o,atp_W36_BETTERBIZ1F2D,3,0.3876,0.1913,0.2786,Dem,0.1962
GPT-4o,atp_W36_BETTERBIZ1F2E,3,0.4268,0.5632,0.5044,Rep,0.1365
GPT-4o,atp_W36_BETTERBIZ1F2F,3,0.3548,0.2468,0.2969,Dem,0.1081
GPT-4o,atp_W36_BETTERBIZ1F2G,3,0.1618,0.2364,0.2034,Rep,0.1273
GPT-4o,atp_W36_BETTERBIZ1F2H,3,0.3832,0.2752,0.3233,Dem,0.1079
GPT-4o,atp_W36_BETTERBIZ1F2I,3,0.2311,0.2809,0.2576,Rep,0.115
GPT-4o,atp_W36_BETTERBIZ1F2J,3,0.2338,0.2766,0.2563,Rep,0.0823
GPT-4o,atp_W36_BETTERBIZ1F2K,3,0.328,0.1952,0.2562,Dem,0.1328
GPT-4o,atp_W36_BETTERBIZ1F2L,3,0.252,0.2608,0.2572,Rep,0.0728
GPT-4o,atp_W36_BETTERBIZ2F2A,3,0.2613,0.1524,0.1996,Dem,0.1089
GPT-4o,atp_W36_BETTERBIZ2F2B,3,0.2213,0.1497,0.1831,Dem,0.0716
GPT-4o,atp_W36_BETTERBIZ2F2C,3,0.2092,0.1674,0.1887,Dem,0.0503
GPT-4o,atp_W36_BETTERBIZ2F2D,3,0.4222,0.2611,0.338,Dem,0.1612
GPT-4o,atp_W36_BETTERBIZ2F2E,3,0.1722,0.1685,0.1716,Dem,0.0515
GPT-4o,atp_W36_BETTERBIZ2F2F,3,0.5254,0.3716,0.4425,Dem,0.1538
GPT-4o,atp_W36_BETTERPOL1F1A,3,0.3928,0.2675,0.3218,Dem,0.1253
GPT-4o,atp_W36_BETTERPOL1F1B,3,0.2169,0.1113,0.1565,Dem,0.1056
GPT-4o,atp_W36_BETTERPOL1F1C,3,0.3364,0.1935,0.2569,Dem,0.1429
GPT-4o,atp_W36_BETTERPOL1F1D,3,0.289,0.191,0.2306,Dem,0.0979
GPT-4o,atp_W36_BETTERPOL1F1E,3,0.5113,0.6325,0.5821,Rep,0.1213
GPT-4o,atp_W36_BETTERPOL1F1F,3,0.2301,0.261,0.2468,Rep,0.1238
GPT-4o,atp_W36_BETTERPOL1F1G,3,0.2967,0.2795,0.2861,Dem,0.0372
GPT-4o,atp_W36_BETTERPOL1F1H,3,0.3834,0.2143,0.285,Dem,0.1691
GPT-4o,atp_W36_BETTERPOL1F1I,3,0.3326,0.2334,0.2786,Dem,0.0993
GPT-4o,atp_W36_BETTERPOL2F1A,3,0.2399,0.1662,0.1949,Dem,0.0737
GPT-4o,atp_W36_BETTERPOL2F1B,3,0.3663,0.2022,0.2712,Dem,0.1641
GPT-4o,atp_W36_BETTERPOL2F1C,3,0.2644,0.2584,0.2597,Dem,0.1944
GPT-4o,atp_W36_BETTERPOL2F1D,3,0.4876,0.7769,0.6553,Rep,0.2893
GPT-4o,atp_W36_BETTERPOL2F1E,3,0.2025,0.1508,0.173,Dem,0.0523
GPT-4o,atp_W36_BETTERPOL2F1F,3,0.3483,0.2885,0.3127,Dem,0.1836
GPT-4o,atp_W36_COLSPEECH,2,0.0593,0.0845,0.0757,Rep,0.0251
GPT-4o,atp_W36_E5,3,0.5401,0.574,0.5598,Rep,0.0339
GPT-4o,atp_W36_EASIERBIZF2,3,0.3754,0.1314,0.244,Dem,0.244
GPT-4o,atp_W36_EASIERPOLF2,3,0.4434,0.1364,0.2745,Dem,0.307
GPT-4o,atp_W36_EQUALBIZF2,2,0.5483,0.4689,0.504,Dem,0.0794
GPT-4o,atp_W36_EQUALPOLF2,2,0.5518,0.5324,0.5389,Dem,0.0194
GPT-4o,atp_W36_ESSENBIZF2A,3,0.0329,0.0407,0.0377,Rep,0.0078
GPT-4o,atp_W36_ESSENBIZF2B,3,0.2949,0.176,0.2275,Dem,0.1189
GPT-4o,atp_W36_ESSENBIZF2C,3,0.1315,0.1012,0.115,Dem,0.0304
GPT-4o,atp_W36_ESSENBIZF2D,3,0.1032,0.1256,0.1171,Rep,0.0223
GPT-4o,atp_W36_ESSENBIZF2E,3,0.2374,0.2094,0.2226,Dem,0.028
GPT-4o,atp_W36_ESSENBIZF2F,3,0.2637,0.0948,0.1708,Dem,0.1688
GPT-4o,atp_W36_ESSENBIZF2G,3,0.1387,0.0541,0.0914,Dem,0.0847
GPT-4o,atp_W36_ESSENBIZF2H,3,0.1442,0.2266,0.1913,Rep,0.0824
GPT-4o,atp_W36_ESSENBIZF2I,3,0.2638,0.1219,0.1851,Dem,0.1419
GPT-4o,atp_W36_ESSENBIZF2J,3,0.2052,0.1901,0.1971,Dem,0.0251
GPT-4o,atp_W36_ESSENBIZF2K,3,0.0718,0.0349,0.0515,Dem,0.037
GPT-4o,atp_W36_ESSENBIZF2L,3,0.2053,0.1352,0.1662,Dem,0.07
GPT-4o,atp_W36_ESSENPOLF1A,3,0.0375,0.0288,0.0327,Dem,0.0125
GPT-4o,atp_W36_ESSENPOLF1B,3,0.2765,0.0969,0.172,Dem,0.1795
GPT-4o,atp_W36_ESSENPOLF1C,3,0.1217,0.062,0.0905,Dem,0.0597
GPT-4o,atp_W36_ESSENPOLF1D,3,0.0599,0.0932,0.0806,Rep,0.0334
GPT-4o,atp_W36_ESSENPOLF1E,3,0.2424,0.2202,0.2309,Dem,0.0276
GPT-4o,atp_W36_ESSENPOLF1F,3,0.1039,0.1576,0.1359,Rep,0.0537
GPT-4o,atp_W36_ESSENPOLF1G,3,0.239,0.2496,0.2456,Rep,0.0106
GPT-4o,atp_W36_ESSENPOLF1H,3,0.2157,0.0908,0.1422,Dem,0.125
GPT-4o,atp_W36_ESSENPOLF1I,3,0.251,0.1619,0.2026,Dem,0.0891
GPT-4o,atp_W36_EXECCHF2,3,0.3446,0.3105,0.3249,Dem,0.0342
GPT-4o,atp_W36_HAPPYLIFE,3,0.1976,0.1887,0.1932,Dem,0.0903
GPT-4o,atp_W36_HIGHED,2,0.2211,0.49,0.3729,Rep,0.2688
GPT-4o,atp_W36_HIGHEDWRNGA,3,0.1332,0.0414,0.0905,Dem,0.0918
GPT-4o,atp_W36_HIGHEDWRNGB,3,0.1021,0.6864,0.3695,Rep,0.5843
GPT-4o,atp_W36_HIGHEDWRNGC,3,0.1448,0.5401,0.3268,Rep,0.3953
GPT-4o,atp_W36_HIGHEDWRNGD,3,0.1479,0.2785,0.2068,Rep,0.1306
GPT-4o,atp_W36_IMPROVE1,4,0.4447,0.1726,0.2922,Dem,0.2721
GPT-4o,atp_W36_IMPROVE2,4,0.31,0.1845,0.2401,Dem,0.2854
GPT-4o,atp_W36_IMPROVE3,4,0.5242,0.2053,0.3445,Dem,0.3189
GPT-4o,atp_W36_MOREWMN1F2,3,0.5728,0.1193,0.3258,Dem,0.4535
GPT-4o,atp_W36_MOREWMN2F2,3,0.2262,0.6734,0.4731,Rep,0.4472
GPT-4o,atp_W36_MOREWMN3F2,3,0.2022,0.5237,0.3827,Rep,0.3215
GPT-4o,atp_W36_MOREWMN4F2,3,0.2592,0.6304,0.464,Rep,0.3711
GPT-4o,atp_W36_POLCHF1,3,0.4105,0.3906,0.3976,Dem,0.0221
GPT-4o,atp_W36_STYLE1,2,0.3683,0.433,0.4066,Rep,0.0647
GPT-4o,atp_W36_STYLE2,3,0.1888,0.4035,0.3032,Rep,0.2147
GPT-4o,atp_W36_TRAITBIZMF2A,3,0.1612,0.1635,0.1645,Rep,0.0037
GPT-4o,atp_W36_TRAITBIZMF2B,3,0.5754,0.6148,0.5982,Rep,0.0396
GPT-4o,atp_W36_TRAITBIZMF2C,3,0.1691,0.1714,0.1735,Rep,0.0023
GPT-4o,atp_W36_TRAITBIZMF2D,3,0.2833,0.4188,0.3636,Rep,0.1355
GPT-4o,atp_W36_TRAITBIZMF2E,3,0.1493,0.1518,0.1545,Rep,0.0101
GPT-4o,atp_W36_TRAITBIZMF2F,3,0.3811,0.4146,0.3975,Rep,0.0335
GPT-4o,atp_W36_TRAITBIZMF2G,3,0.4186,0.3696,0.392,Dem,0.0491
GPT-4o,atp_W36_TRAITBIZWF2A,3,0.2262,0.2747,0.2568,Rep,0.0486
GPT-4o,atp_W36_TRAITBIZWF2B,3,0.4784,0.5057,0.496,Rep,0.0872
GPT-4o,atp_W36_TRAITBIZWF2C,3,0.2897,0.332,0.3144,Rep,0.0737
GPT-4o,atp_W36_TRAITBIZWF2D,3,0.2994,0.3565,0.3337,Rep,0.0572
GPT-4o,atp_W36_TRAITBIZWF2E,3,0.2892,0.3183,0.3071,Rep,0.0756
GPT-4o,atp_W36_TRAITBIZWF2F,3,0.153,0.108,0.1299,Dem,0.0449
GPT-4o,atp_W36_TRAITBIZWF2G,3,0.2574,0.1898,0.2222,Dem,0.0675
GPT-4o,atp_W36_TRAITPOLMF1A,3,0.1808,0.1949,0.1919,Rep,0.0141
GPT-4o,atp_W36_TRAITPOLMF1B,3,0.4256,0.4685,0.4502,Rep,0.0428
GPT-4o,atp_W36_TRAITPOLMF1C,3,0.232,0.2118,0.2222,Dem,0.0202
GPT-4o,atp_W36_TRAITPOLMF1D,3,0.1952,0.3068,0.2614,Rep,0.1115
GPT-4o,atp_W36_TRAITPOLMF1E,3,0.1952,0.1856,0.1934,Dem,0.0096
GPT-4o,atp_W36_TRAITPOLMF1F,3,0.4035,0.4522,0.4312,Rep,0.0486
GPT-4o,atp_W36_TRAITPOLMF1G,3,0.4496,0.3879,0.4196,Dem,0.0617
GPT-4o,atp_W36_TRAITPOLWF1A,3,0.2527,0.2984,0.2823,Rep,0.0583
GPT-4o,atp_W36_TRAITPOLWF1B,3,0.3364,0.3213,0.3274,Dem,0.051
GPT-4o,atp_W36_TRAITPOLWF1C,3,0.3176,0.3834,0.3578,Rep,0.0899
GPT-4o,atp_W36_TRAITPOLWF1D,3,0.2225,0.2036,0.2104,Dem,0.0189
GPT-4o,atp_W36_TRAITPOLWF1E,3,0.333,0.3729,0.357,Rep,0.1037
GPT-4o,atp_W36_TRAITPOLWF1F,3,0.2283,0.1854,0.2072,Dem,0.0448
GPT-4o,atp_W36_TRAITPOLWF1G,3,0.356,0.2904,0.3217,Dem,0.0655
GPT-4o,atp_W36_WHYNOTBIZF2A,3,0.4908,0.2293,0.3448,Dem,0.2615
GPT-4o,atp_W36_WHYNOTBIZF2B,3,0.4717,0.1368,0.2874,Dem,0.3348
GPT-4o,atp_W36_WHYNOTBIZF2C,3,0.2937,0.3338,0.3182,Rep,0.04
GPT-4o,atp_W36_WHYNOTBIZF2D,3,0.2047,0.1416,0.1711,Dem,0.0631
GPT-4o,atp_W36_WHYNOTBIZF2F,3,0.1841,0.106,0.1413,Dem,0.078
GPT-4o,atp_W36_WHYNOTBIZF2G,3,0.6503,0.3385,0.48,Dem,0.3118
GPT-4o,atp_W36_WHYNOTBIZF2H,3,0.4144,0.1382,0.2644,Dem,0.2761
GPT-4o,atp_W36_WHYNOTBIZF2I,3,0.502,0.7283,0.6263,Rep,0.2262
GPT-4o,atp_W36_WHYNOTBIZF2J,3,0.4737,0.2879,0.3715,Dem,0.1858
GPT-4o,atp_W36_WHYNOTBIZF2K,3,0.6957,0.6598,0.6771,Dem,0.0359
GPT-4o,atp_W36_WHYNOTBIZF2L,3,0.6534,0.429,0.531,Dem,0.2243
GPT-4o,atp_W36_WHYNOTBIZF2M,3,0.5973,0.4532,0.5192,Dem,0.1441
GPT-4o,atp_W36_WHYNOTBIZF2N,3,0.5458,0.4605,0.4982,Dem,0.0853
GPT-4o,atp_W36_WHYNOTBIZF2O,3,0.5195,0.2821,0.3893,Dem,0.2373
GPT-4o,atp_W36_WHYNOTPOLF1A,3,0.5425,0.2527,0.3726,Dem,0.2898
GPT-4o,atp_W36_WHYNOTPOLF1B,3,0.5205,0.1476,0.3097,Dem,0.3729
GPT-4o,atp_W36_WHYNOTPOLF1C,3,0.371,0.4,0.3912,Rep,0.0291
GPT-4o,atp_W36_WHYNOTPOLF1D,3,0.2141,0.15,0.1765,Dem,0.0641
GPT-4o,atp_W36_WHYNOTPOLF1E,3,0.5518,0.6385,0.6045,Rep,0.0867
GPT-4o,atp_W36_WHYNOTPOLF1F,3,0.474,0.1909,0.3112,Dem,0.2832
GPT-4o,atp_W36_WHYNOTPOLF1G,3,0.6809,0.3056,0.46,Dem,0.3753
GPT-4o,atp_W36_WHYNOTPOLF1H,3,0.4414,0.1289,0.2645,Dem,0.3124
GPT-4o,atp_W36_WHYNOTPOLF1I,3,0.3758,0.6056,0.5076,Rep,0.2297
GPT-4o,atp_W36_WHYNOTPOLF1J,3,0.5068,0.2336,0.3444,Dem,0.2732
GPT-4o,atp_W36_WHYNOTPOLF1K,3,0.3408,0.2911,0.3129,Dem,0.0656
GPT-4o,atp_W36_WHYNOTPOLF1L,3,0.6109,0.3058,0.435,Dem,0.3052
GPT-4o,atp_W36_WMNPRZ1,4,0.3755,0.1131,0.2253,Dem,0.2624
GPT-4o,atp_W41_AGEMAJ,5,0.3851,0.3878,0.3857,Rep,0.0213
GPT-4o,atp_W41_AUTOLKLY,4,0.6345,0.5632,0.5908,Dem,0.0714
GPT-4o,atp_W41_AUTOWKPLC,3,0.5431,0.5227,0.5328,Dem,0.0204
GPT-4o,atp_W41_AVGFAM,3,0.4079,0.3624,0.3815,Dem,0.0455
GPT-4o,atp_W41_ELDCARE,2,0.266,0.2568,0.2626,Dem,0.0091
GPT-4o,atp_W41_ELDFINANCEF1,3,0.3706,0.362,0.3663,Dem,0.0472
GPT-4o,atp_W41_ELDFINANCEF2,3,0.3146,0.1637,0.2271,Dem,0.151
GPT-4o,atp_W41_ENVC,3,0.301,0.144,0.2109,Dem,0.1569
GPT-4o,atp_W41_ETHNCMAJ3,3,0.6738,0.5986,0.6286,Dem,0.1139
GPT-4o,atp_W41_ETHNCMAJ4,3,0.4326,0.5509,0.4962,Rep,0.2005
GPT-4o,atp_W41_ETHNCMAJMOD,5,0.2922,0.4911,0.4041,Rep,0.1989
GPT-4o,atp_W41_FTRWORRYa,4,0.3811,0.3114,0.3401,Dem,0.0697
GPT-4o,atp_W41_FTRWORRYb,4,0.2876,0.2906,0.2891,Rep,0.0293
GPT-4o,atp_W41_FTRWORRYc,4,0.2288,0.1973,0.2112,Dem,0.0315
GPT-4o,atp_W41_FTRWORRYd,4,0.2435,0.1917,0.2156,Dem,0.0518
GPT-4o,atp_W41_FTRWORRYe,4,0.2179,0.3211,0.2752,Rep,0.1031
GPT-4o,atp_W41_FTRWORRYf,4,0.5543,0.1633,0.3315,Dem,0.3909
GPT-4o,atp_W41_FUTRCLASSa,3,0.5435,0.5514,0.549,Rep,0.0079
GPT-4o,atp_W41_FUTRCLASSb,3,0.2947,0.2498,0.2704,Dem,0.045
GPT-4o,atp_W41_FUTRCLASSc,3,0.3268,0.2538,0.2855,Dem,0.0728
GPT-4o,atp_W41_FUTR_ABR,4,0.1824,0.1443,0.1636,Dem,0.0398
GPT-4o,atp_W41_FUTR_DIV,3,0.452,0.4381,0.4434,Dem,0.0668
GPT-4o,atp_W41_FUTR_K,3,0.275,0.2561,0.266,Dem,0.0189
GPT-4o,atp_W41_FUTR_M,3,0.2236,0.237,0.2326,Rep,0.0137
GPT-4o,atp_W41_GNATPROB,2,0.6459,0.2012,0.396,Dem,0.4447
GPT-4o,atp_W41_GOVPRIOa,4,0.1679,0.2352,0.2052,Rep,0.0673
GPT-4o,atp_W41_GOVPRIOb,4,0.3192,0.1248,0.2077,Dem,0.1943
GPT-4o,atp_W41_GOVPRIOc,4,0.2905,0.0622,0.159,Dem,0.2284
GPT-4o,atp_W41_GOVPRIOd,4,0.3543,0.2396,0.2908,Dem,0.1146
GPT-4o,atp_W41_GOVPRIOe,4,0.4273,0.1605,0.2734,Dem,0.2668
GPT-4o,atp_W41_GOVPRIOfF1,4,0.2749,0.3884,0.3366,Rep,0.3364
GPT-4o,atp_W41_GOVPRIOgF1,4,0.5265,0.2623,0.3727,Dem,0.3501
GPT-4o,atp_W41_GOVPRIOhF1,4,0.4631,0.3358,0.3902,Dem,0.1273
GPT-4o,atp_W41_GOVPRIOiF1,4,0.2824,0.2341,0.2562,Dem,0.0483
GPT-4o,atp_W41_GOVPRIOjF1,4,0.4673,0.3526,0.4062,Dem,0.1889
GPT-4o,atp_W41_GOVPRIOkF2,4,0.4222,0.2824,0.3425,Dem,0.2733
GPT-4o,atp_W41_GOVPRIOlF2,4,0.2197,0.3167,0.2761,Rep,0.1971
GPT-4o,atp_W41_GOVPRIOmF2,4,0.3156,0.1768,0.2358,Dem,0.1388
GPT-4o,atp_W41_GOVPRIOnF2,4,0.2951,0.3299,0.3165,Rep,0.0348
GPT-4o,atp_W41_GOVPRIOoF2,4,0.4981,0.1187,0.2793,Dem,0.3795
GPT-4o,atp_W41_HAPPEN2a,4,0.1696,0.1907,0.1825,Rep,0.032
GPT-4o,atp_W41_HAPPEN2b,4,0.2116,0.1743,0.1894,Dem,0.125
GPT-4o,atp_W41_HAPPEN2c,4,0.1739,0.1767,0.1765,Rep,0.0057
GPT-4o,atp_W41_HAPPEN2d,4,0.2379,0.2073,0.2213,Dem,0.0772
GPT-4o,atp_W41_HAPPEN2e,4,0.3036,0.2609,0.2805,Dem,0.0427
GPT-4o,atp_W41_HAPPEN2f,4,0.1546,0.1802,0.1715,Rep,0.0306
GPT-4o,atp_W41_HAPPEN2g,4,0.1621,0.1842,0.1749,Rep,0.0221
GPT-4o,atp_W41_HAPPEN2h,4,0.2728,0.2361,0.253,Dem,0.0367
GPT-4o,atp_W41_HAPPENa,2,0.5077,0.6322,0.5778,Rep,0.1245
GPT-4o,atp_W41_HAPPENb,2,0.3679,0.4026,0.3822,Rep,0.0347
GPT-4o,atp_W41_HAPPENc,2,0.5337,0.5736,0.5546,Rep,0.0399
GPT-4o,atp_W41_HAPPENd,2,0.4347,0.2695,0.3402,Dem,0.1652
GPT-4o,atp_W41_HAPPENe,2,0.2305,0.1902,0.2073,Dem,0.0404
GPT-4o,atp_W41_HAPPENf,2,0.3823,0.4654,0.4289,Rep,0.0831
GPT-4o,atp_W41_HAPPENg,2,0.4746,0.4551,0.4643,Dem,0.0195
GPT-4o,atp_W41_HAPPENhF1,2,0.3907,0.3467,0.3618,Dem,0.0439
GPT-4o,atp_W41_HAPPENiF2,2,0.4846,0.4354,0.4555,Dem,0.0492
GPT-4o,atp_W41_HAPPENj,2,0.2572,0.325,0.2957,Rep,0.0677
GPT-4o,atp_W41_HARASS1F1a,3,0.3166,0.2615,0.2826,Dem,0.1826
GPT-4o,atp_W41_HARASS1F1b,3,0.2495,0.3997,0.3338,Rep,0.1502
GPT-4o,atp_W41_HARASS1F1c,3,0.3064,0.1318,0.207,Dem,0.1745
GPT-4o,atp_W41_HARASS1F1d,3,0.362,0.1464,0.241,Dem,0.2156
GPT-4o,atp_W41_HARASS1NOWRKF2a,3,0.2159,0.4086,0.3224,Rep,0.1927
GPT-4o,atp_W41_HARASS1NOWRKF2c,3,0.2748,0.112,0.1797,Dem,0.1628
GPT-4o,atp_W41_HARASS1NOWRKF2d,3,0.3929,0.1322,0.2417,Dem,0.2608
GPT-4o,atp_W41_HARASS3F1,3,0.146,0.2844,0.2236,Rep,0.1384
GPT-4o,atp_W41_HARASS3NOWRKF2,3,0.1416,0.2912,0.2267,Rep,0.1495
GPT-4o,atp_W41_INTRMAR,5,0.6322,0.4136,0.5118,Dem,0.2186
GPT-4o,atp_W41_JOBBENEFITS,3,0.3049,0.2811,0.293,Dem,0.0417
GPT-4o,atp_W41_JOBSECURITY,3,0.2796,0.2283,0.2512,Dem,0.0575
GPT-4o,atp_W41_LEGALIMG,3,0.5858,0.388,0.4758,Dem,0.1979
GPT-4o,atp_W41_NATDEBT,4,0.1807,0.1646,0.1731,Dem,0.0161
GPT-4o,atp_W41_OPTIMIST,4,0.2243,0.2283,0.2264,Rep,0.0151
GPT-4o,atp_W41_POPPROB,3,0.3185,0.2948,0.3066,Dem,0.0285
GPT-4o,atp_W41_ROBIMPACTa,2,0.2808,0.1981,0.2389,Dem,0.0828
GPT-4o,atp_W41_ROBIMPACTb,2,0.3434,0.3259,0.3301,Dem,0.0175
GPT-4o,atp_W41_ROBWRK,4,0.3166,0.2844,0.2984,Dem,0.0322
GPT-4o,atp_W41_ROBWRK2,4,0.2146,0.2194,0.2189,Rep,0.0057
GPT-4o,atp_W41_SOLVPROBa,4,0.2866,0.1904,0.2344,Dem,0.0963
GPT-4o,atp_W41_SOLVPROBb,4,0.1802,0.2771,0.2354,Rep,0.1108
GPT-4o,atp_W41_SOLVPROBc,4,0.1724,0.2643,0.225,Rep,0.1587
GPT-4o,atp_W41_SOLVPROBdF1,4,0.2951,0.2425,0.2668,Dem,0.0709
GPT-4o,atp_W41_SOLVPROBeF2,4,0.4887,0.4083,0.4428,Dem,0.0804
GPT-4o,atp_W41_SOLVPROBf,4,0.2279,0.2853,0.2604,Rep,0.3106
GPT-4o,atp_W41_SOLVPROBg,4,0.2782,0.4405,0.3734,Rep,0.1623
GPT-4o,atp_W41_SOLVPROBh,4,0.5072,0.2628,0.3656,Dem,0.2444
GPT-4o,atp_W41_SOLVPROBi,4,0.421,0.2773,0.338,Dem,0.1437
GPT-4o,atp_W41_SSCUT,2,0.6925,0.7911,0.7525,Rep,0.0986
GPT-4o,atp_W41_SSMONEY,3,0.2836,0.2974,0.2922,Rep,0.0204
GPT-4o,atp_W41_WRKTRN1F1,4,0.2554,0.2144,0.233,Dem,0.1833
GPT-4o,atp_W41_WRKTRN1F2,4,0.203,0.1642,0.181,Dem,0.1651
GPT-4o,atp_W41_WRKTRN2F1,4,0.3268,0.373,0.3537,Rep,0.0875
GPT-4o,atp_W41_WRKTRN2F2,4,0.2116,0.3077,0.2674,Rep,0.0961
GPT-4o,atp_W42_CONFa,4,0.1779,0.1737,0.1751,Dem,0.0316
GPT-4o,atp_W42_CONFb,4,0.208,0.2933,0.256,Rep,0.2838
GPT-4o,atp_W42_CONFc,4,0.1882,0.3321,0.2751,Rep,0.144
GPT-4o,atp_W42_CONFd_F1,4,0.272,0.2329,0.2544,Dem,0.0391
GPT-4o,atp_W42_CONFd_F2,4,0.3175,0.2122,0.2589,Dem,0.1053
GPT-4o,atp_W42_CONFe,4,0.3153,0.2514,0.2766,Dem,0.1211
GPT-4o,atp_W42_CONFf,4,0.1699,0.1381,0.1523,Dem,0.0882
GPT-4o,atp_W42_CONFg,4,0.2333,0.1898,0.2073,Dem,0.0889
GPT-4o,atp_W42_FUTURE,3,0.1605,0.1107,0.1344,Dem,0.0498
GPT-4o,atp_W42_KNOW1,5,0.1562,0.1845,0.1762,Rep,0.0282
GPT-4o,atp_W42_KNOW10,5,0.2663,0.2485,0.2587,Dem,0.0281
GPT-4o,atp_W42_KNOW11,5,0.1119,0.1497,0.1368,Rep,0.0378
GPT-4o,atp_W42_KNOW12,5,0.176,0.2054,0.1964,Rep,0.0294
GPT-4o,atp_W42_KNOW14,3,0.1675,0.1359,0.1504,Dem,0.0315
GPT-4o,atp_W42_KNOW2,5,0.2401,0.2542,0.2547,Rep,0.0142
GPT-4o,atp_W42_KNOW3,5,0.166,0.1673,0.1707,Rep,0.0029
GPT-4o,atp_W42_KNOW4,5,0.1444,0.1761,0.1661,Rep,0.0427
GPT-4o,atp_W42_KNOW5,5,0.1529,0.1657,0.1632,Rep,0.0127
GPT-4o,atp_W42_KNOW6,5,0.1905,0.1706,0.1815,Dem,0.0199
GPT-4o,atp_W42_KNOW7,5,0.0577,0.0784,0.0704,Rep,0.0208
GPT-4o,atp_W42_KNOW9,5,0.2719,0.2978,0.2916,Rep,0.0259
GPT-4o,atp_W42_PAST,3,0.1322,0.1118,0.1235,Dem,0.0204
GPT-4o,atp_W42_POLICY1,2,0.5715,0.243,0.3834,Dem,0.3285
GPT-4o,atp_W42_POLICY2,2,0.4444,0.4675,0.4532,Rep,0.0231
GPT-4o,atp_W42_POLICY3,3,0.6308,0.4176,0.513,Dem,0.2133
GPT-4o,atp_W42_POP1,2,0.6317,0.4936,0.5529,Dem,0.1381
GPT-4o,atp_W42_POP2,4,0.2338,0.2399,0.2366,Rep,0.0061
GPT-4o,atp_W42_POP3,2,0.1871,0.3734,0.291,Rep,0.1864
GPT-4o,atp_W42_PQ1_F2A,3,0.2012,0.2134,0.2174,Rep,0.0122
GPT-4o,atp_W42_PQ1_F2B,3,0.4676,0.2298,0.334,Dem,0.2377
GPT-4o,atp_W42_PQ1_F2C,3,0.372,0.3168,0.3434,Dem,0.0551
GPT-4o,atp_W42_PQ2_F2A,3,0.261,0.2785,0.277,Rep,0.0175
